Sample in Buffer,Sample in Window,TRIGGER,test_OBUF,r_rst,r_vaild,r_cnt[6:0],r_alu_flags_rom[3:0],w_alu_flags[3:0]
514,514,0,1,0,1,3,0,0
515,515,0,1,0,1,4,a,a
516,516,0,1,0,1,5,0,0
517,517,0,1,0,1,6,8,8
518,518,0,1,0,1,7,0,0
519,519,0,1,0,1,8,8,8
520,520,0,1,0,1,9,2,2
521,521,0,1,0,1,10,a,a
522,522,0,1,0,1,11,3,3
523,523,0,1,0,1,12,2,2
524,524,0,1,0,1,13,0,0
525,525,0,1,0,1,14,a,a
526,526,0,1,0,1,15,0,0
527,527,0,1,0,1,16,8,8
528,528,0,1,0,1,17,8,8
529,529,0,1,0,1,18,8,8
530,530,0,1,0,1,19,0,0
531,531,0,1,0,1,20,2,2
532,532,0,1,0,1,21,9,9
533,533,0,1,0,1,22,8,8
534,534,0,1,0,1,23,8,8
535,535,0,1,0,1,24,8,8
536,536,0,1,0,1,25,8,8
537,537,0,1,0,1,26,9,9
538,538,0,1,0,1,27,3,3
539,539,0,1,0,1,28,0,0
540,540,0,1,0,1,29,2,2
541,541,0,1,0,1,30,8,8
542,542,0,1,0,1,31,3,3
543,543,0,1,0,1,32,a,a
544,544,0,1,0,1,33,2,2
545,545,0,1,0,1,34,8,8
546,546,0,1,0,1,35,8,8
547,547,0,1,0,1,36,3,3
548,548,0,1,0,1,37,8,8
549,549,0,1,0,1,38,9,9
550,550,0,1,0,1,39,8,8
551,551,0,1,0,1,40,0,0
552,552,0,1,0,1,41,2,2
553,553,0,1,0,1,42,8,8
554,554,0,1,0,1,43,0,0
555,555,0,1,0,1,44,2,2
556,556,0,1,0,1,45,8,8
557,557,0,1,0,1,46,8,8
558,558,0,1,0,1,47,8,8
559,559,0,1,0,1,48,8,8
560,560,0,1,0,1,49,8,8
561,561,0,1,0,1,50,0,0
562,562,0,1,0,1,51,0,0
563,563,0,1,0,1,52,8,8
564,564,0,1,0,1,53,8,8
565,565,0,1,0,1,54,8,8
566,566,0,1,0,1,55,8,8
567,567,0,1,0,1,56,0,0
568,568,0,1,0,1,57,9,9
569,569,0,1,0,1,58,a,a
570,570,0,1,0,1,59,0,0
571,571,0,1,0,1,60,3,3
572,572,0,1,0,1,61,8,8
573,573,0,1,0,1,62,2,2
574,574,0,1,0,1,63,a,a
575,575,0,1,0,1,64,0,0
576,576,0,1,0,1,65,8,8
577,577,0,1,0,1,66,8,8
578,578,0,1,0,1,67,8,8
579,579,0,1,0,1,68,0,0
580,580,0,1,0,1,69,8,8
581,581,0,1,0,1,70,2,2
582,582,0,1,0,1,71,8,8
583,583,0,1,0,1,72,8,8
584,584,0,1,0,1,73,0,0
585,585,0,1,0,1,74,0,0
586,586,0,1,0,1,75,0,0
587,587,0,1,0,1,76,2,2
588,588,0,1,0,1,77,0,0
589,589,0,1,0,1,78,a,a
590,590,0,1,0,1,79,a,a
591,591,0,1,0,1,80,0,0
592,592,0,1,0,1,81,8,8
593,593,0,1,0,1,82,0,0
594,594,0,1,0,1,83,8,8
595,595,0,1,0,1,84,3,3
596,596,0,1,0,1,85,8,8
597,597,0,1,0,1,86,2,2
598,598,0,1,0,1,87,8,8
599,599,0,1,0,1,88,2,2
600,600,0,1,0,1,89,2,2
601,601,0,1,0,1,90,9,9
602,602,0,1,0,1,91,2,2
603,603,0,1,0,1,92,3,3
604,604,0,1,0,1,93,8,8
605,605,0,1,0,1,94,a,a
606,606,0,1,0,1,95,8,8
607,607,0,1,0,1,96,3,3
608,608,0,1,0,1,97,8,8
609,609,0,1,0,1,98,2,2
610,610,0,1,0,1,99,0,0
611,611,0,1,0,1,100,9,9
612,612,0,1,0,1,101,8,8
613,613,0,1,0,1,102,2,2
614,614,0,1,0,1,103,3,3
615,615,0,1,0,1,104,8,8
616,616,0,1,0,1,105,8,8
617,617,0,1,0,1,106,0,0
618,618,0,1,0,1,107,0,0
619,619,0,1,0,1,108,2,2
620,620,0,1,0,1,109,0,0
621,621,0,1,0,1,110,3,3
622,622,0,1,0,1,111,a,a
623,623,0,1,0,1,112,8,8
624,624,0,1,0,1,113,a,a
625,625,0,1,0,1,114,2,2
626,626,0,1,0,1,115,a,a
627,627,0,1,0,1,116,0,0
628,628,0,1,0,1,117,0,0
629,629,0,1,0,1,118,8,8
630,630,0,1,0,1,119,2,2
631,631,0,1,0,1,120,0,0
632,632,0,1,0,1,121,0,0
633,633,0,1,0,1,122,0,0
634,634,0,1,0,1,123,8,8
635,635,0,1,0,1,124,9,9
636,636,0,1,0,1,125,8,8
637,637,0,1,0,1,126,8,8
638,638,0,1,0,1,127,0,0
639,639,0,1,0,1,0,0,0
640,640,0,1,0,1,1,2,2
641,641,0,1,0,1,2,8,8
642,642,0,1,0,1,3,0,0
643,643,0,1,0,1,4,a,a
644,644,0,1,0,1,5,0,0
645,645,0,1,0,1,6,8,8
646,646,0,1,0,1,7,0,0
647,647,0,1,0,1,8,8,8
648,648,0,1,0,1,9,2,2
649,649,0,1,0,1,10,a,a
650,650,0,1,0,1,11,3,3
651,651,0,1,0,1,12,2,2
652,652,0,1,0,1,13,0,0
653,653,0,1,0,1,14,a,a
654,654,0,1,0,1,15,0,0
655,655,0,1,0,1,16,8,8
656,656,0,1,0,1,17,8,8
657,657,0,1,0,1,18,8,8
658,658,0,1,0,1,19,0,0
659,659,0,1,0,1,20,2,2
660,660,0,1,0,1,21,9,9
661,661,0,1,0,1,22,8,8
662,662,0,1,0,1,23,8,8
663,663,0,1,0,1,24,8,8
664,664,0,1,0,1,25,8,8
665,665,0,1,0,1,26,9,9
666,666,0,1,0,1,27,3,3
667,667,0,1,0,1,28,0,0
668,668,0,1,0,1,29,2,2
669,669,0,1,0,1,30,8,8
670,670,0,1,0,1,31,3,3
671,671,0,1,0,1,32,a,a
672,672,0,1,0,1,33,2,2
673,673,0,1,0,1,34,8,8
674,674,0,1,0,1,35,8,8
675,675,0,1,0,1,36,3,3
676,676,0,1,0,1,37,8,8
677,677,0,1,0,1,38,9,9
678,678,0,1,0,1,39,8,8
679,679,0,1,0,1,40,0,0
680,680,0,1,0,1,41,2,2
681,681,0,1,0,1,42,8,8
682,682,0,1,0,1,43,0,0
683,683,0,1,0,1,44,2,2
684,684,0,1,0,1,45,8,8
685,685,0,1,0,1,46,8,8
686,686,0,1,0,1,47,8,8
687,687,0,1,0,1,48,8,8
688,688,0,1,0,1,49,8,8
689,689,0,1,0,1,50,0,0
690,690,0,1,0,1,51,0,0
691,691,0,1,0,1,52,8,8
692,692,0,1,0,1,53,8,8
693,693,0,1,0,1,54,8,8
694,694,0,1,0,1,55,8,8
695,695,0,1,0,1,56,0,0
696,696,0,1,0,1,57,9,9
697,697,0,1,0,1,58,a,a
698,698,0,1,0,1,59,0,0
699,699,0,1,0,1,60,3,3
700,700,0,1,0,1,61,8,8
701,701,0,1,0,1,62,2,2
702,702,0,1,0,1,63,a,a
703,703,0,1,0,1,64,0,0
704,704,0,1,0,1,65,8,8
705,705,0,1,0,1,66,8,8
706,706,0,1,0,1,67,8,8
707,707,0,1,0,1,68,0,0
708,708,0,1,0,1,69,8,8
709,709,0,1,0,1,70,2,2
710,710,0,1,0,1,71,8,8
711,711,0,1,0,1,72,8,8
712,712,0,1,0,1,73,0,0
713,713,0,1,0,1,74,0,0
714,714,0,1,0,1,75,0,0
715,715,0,1,0,1,76,2,2
716,716,0,1,0,1,77,0,0
717,717,0,1,0,1,78,a,a
718,718,0,1,0,1,79,a,a
719,719,0,1,0,1,80,0,0
720,720,0,1,0,1,81,8,8
721,721,0,1,0,1,82,0,0
722,722,0,1,0,1,83,8,8
723,723,0,1,0,1,84,3,3
724,724,0,1,0,1,85,8,8
725,725,0,1,0,1,86,2,2
726,726,0,1,0,1,87,8,8
727,727,0,1,0,1,88,2,2
728,728,0,1,0,1,89,2,2
729,729,0,1,0,1,90,9,9
730,730,0,1,0,1,91,2,2
731,731,0,1,0,1,92,3,3
732,732,0,1,0,1,93,8,8
733,733,0,1,0,1,94,a,a
734,734,0,1,0,1,95,8,8
735,735,0,1,0,1,96,3,3
736,736,0,1,0,1,97,8,8
737,737,0,1,0,1,98,2,2
738,738,0,1,0,1,99,0,0
739,739,0,1,0,1,100,9,9
740,740,0,1,0,1,101,8,8
741,741,0,1,0,1,102,2,2
742,742,0,1,0,1,103,3,3
743,743,0,1,0,1,104,8,8
744,744,0,1,0,1,105,8,8
745,745,0,1,0,1,106,0,0
746,746,0,1,0,1,107,0,0
747,747,0,1,0,1,108,2,2
748,748,0,1,0,1,109,0,0
749,749,0,1,0,1,110,3,3
750,750,0,1,0,1,111,a,a
751,751,0,1,0,1,112,8,8
752,752,0,1,0,1,113,a,a
753,753,0,1,0,1,114,2,2
754,754,0,1,0,1,115,a,a
755,755,0,1,0,1,116,0,0
756,756,0,1,0,1,117,0,0
757,757,0,1,0,1,118,8,8
758,758,0,1,0,1,119,2,2
759,759,0,1,0,1,120,0,0
760,760,0,1,0,1,121,0,0
761,761,0,1,0,1,122,0,0
762,762,0,1,0,1,123,8,8
763,763,0,1,0,1,124,9,9
764,764,0,1,0,1,125,8,8
765,765,0,1,0,1,126,8,8
766,766,0,1,0,1,127,0,0
767,767,0,1,0,1,0,0,0
768,768,0,1,0,1,1,2,2
769,769,0,1,0,1,2,8,8
770,770,0,1,0,1,3,0,0
771,771,0,1,0,1,4,a,a
772,772,0,1,0,1,5,0,0
773,773,0,1,0,1,6,8,8
774,774,0,1,0,1,7,0,0
775,775,0,1,0,1,8,8,8
776,776,0,1,0,1,9,2,2
777,777,0,1,0,1,10,a,a
778,778,0,1,0,1,11,3,3
779,779,0,1,0,1,12,2,2
780,780,0,1,0,1,13,0,0
781,781,0,1,0,1,14,a,a
782,782,0,1,0,1,15,0,0
783,783,0,1,0,1,16,8,8
784,784,0,1,0,1,17,8,8
785,785,0,1,0,1,18,8,8
786,786,0,1,0,1,19,0,0
787,787,0,1,0,1,20,2,2
788,788,0,1,0,1,21,9,9
789,789,0,1,0,1,22,8,8
790,790,0,1,0,1,23,8,8
791,791,0,1,0,1,24,8,8
792,792,0,1,0,1,25,8,8
793,793,0,1,0,1,26,9,9
794,794,0,1,0,1,27,3,3
795,795,0,1,0,1,28,0,0
796,796,0,1,0,1,29,2,2
797,797,0,1,0,1,30,8,8
798,798,0,1,0,1,31,3,3
799,799,0,1,0,1,32,a,a
800,800,0,1,0,1,33,2,2
801,801,0,1,0,1,34,8,8
802,802,0,1,0,1,35,8,8
803,803,0,1,0,1,36,3,3
804,804,0,1,0,1,37,8,8
805,805,0,1,0,1,38,9,9
806,806,0,1,0,1,39,8,8
807,807,0,1,0,1,40,0,0
808,808,0,1,0,1,41,2,2
809,809,0,1,0,1,42,8,8
810,810,0,1,0,1,43,0,0
811,811,0,1,0,1,44,2,2
812,812,0,1,0,1,45,8,8
813,813,0,1,0,1,46,8,8
814,814,0,1,0,1,47,8,8
815,815,0,1,0,1,48,8,8
816,816,0,1,0,1,49,8,8
817,817,0,1,0,1,50,0,0
818,818,0,1,0,1,51,0,0
819,819,0,1,0,1,52,8,8
820,820,0,1,0,1,53,8,8
821,821,0,1,0,1,54,8,8
822,822,0,1,0,1,55,8,8
823,823,0,1,0,1,56,0,0
824,824,0,1,0,1,57,9,9
825,825,0,1,0,1,58,a,a
826,826,0,1,0,1,59,0,0
827,827,0,1,0,1,60,3,3
828,828,0,1,0,1,61,8,8
829,829,0,1,0,1,62,2,2
830,830,0,1,0,1,63,a,a
831,831,0,1,0,1,64,0,0
832,832,0,1,0,1,65,8,8
833,833,0,1,0,1,66,8,8
834,834,0,1,0,1,67,8,8
835,835,0,1,0,1,68,0,0
836,836,0,1,0,1,69,8,8
837,837,0,1,0,1,70,2,2
838,838,0,1,0,1,71,8,8
839,839,0,1,0,1,72,8,8
840,840,0,1,0,1,73,0,0
841,841,0,1,0,1,74,0,0
842,842,0,1,0,1,75,0,0
843,843,0,1,0,1,76,2,2
844,844,0,1,0,1,77,0,0
845,845,0,1,0,1,78,a,a
846,846,0,1,0,1,79,a,a
847,847,0,1,0,1,80,0,0
848,848,0,1,0,1,81,8,8
849,849,0,1,0,1,82,0,0
850,850,0,1,0,1,83,8,8
851,851,0,1,0,1,84,3,3
852,852,0,1,0,1,85,8,8
853,853,0,1,0,1,86,2,2
854,854,0,1,0,1,87,8,8
855,855,0,1,0,1,88,2,2
856,856,0,1,0,1,89,2,2
857,857,0,1,0,1,90,9,9
858,858,0,1,0,1,91,2,2
859,859,0,1,0,1,92,3,3
860,860,0,1,0,1,93,8,8
861,861,0,1,0,1,94,a,a
862,862,0,1,0,1,95,8,8
863,863,0,1,0,1,96,3,3
864,864,0,1,0,1,97,8,8
865,865,0,1,0,1,98,2,2
866,866,0,1,0,1,99,0,0
867,867,0,1,0,1,100,9,9
868,868,0,1,0,1,101,8,8
869,869,0,1,0,1,102,2,2
870,870,0,1,0,1,103,3,3
871,871,0,1,0,1,104,8,8
872,872,0,1,0,1,105,8,8
873,873,0,1,0,1,106,0,0
874,874,0,1,0,1,107,0,0
875,875,0,1,0,1,108,2,2
876,876,0,1,0,1,109,0,0
877,877,0,1,0,1,110,3,3
878,878,0,1,0,1,111,a,a
879,879,0,1,0,1,112,8,8
880,880,0,1,0,1,113,a,a
881,881,0,1,0,1,114,2,2
882,882,0,1,0,1,115,a,a
883,883,0,1,0,1,116,0,0
884,884,0,1,0,1,117,0,0
885,885,0,1,0,1,118,8,8
886,886,0,1,0,1,119,2,2
887,887,0,1,0,1,120,0,0
888,888,0,1,0,1,121,0,0
889,889,0,1,0,1,122,0,0
890,890,0,1,0,1,123,8,8
891,891,0,1,0,1,124,9,9
892,892,0,1,0,1,125,8,8
893,893,0,1,0,1,126,8,8
894,894,0,1,0,1,127,0,0
895,895,0,1,0,1,0,0,0
896,896,0,1,0,1,1,2,2
897,897,0,1,0,1,2,8,8
898,898,0,1,0,1,3,0,0
899,899,0,1,0,1,4,a,a
900,900,0,1,0,1,5,0,0
901,901,0,1,0,1,6,8,8
902,902,0,1,0,1,7,0,0
903,903,0,1,0,1,8,8,8
904,904,0,1,0,1,9,2,2
905,905,0,1,0,1,10,a,a
906,906,0,1,0,1,11,3,3
907,907,0,1,0,1,12,2,2
908,908,0,1,0,1,13,0,0
909,909,0,1,0,1,14,a,a
910,910,0,1,0,1,15,0,0
911,911,0,1,0,1,16,8,8
912,912,0,1,0,1,17,8,8
913,913,0,1,0,1,18,8,8
914,914,0,1,0,1,19,0,0
915,915,0,1,0,1,20,2,2
916,916,0,1,0,1,21,9,9
917,917,0,1,0,1,22,8,8
918,918,0,1,0,1,23,8,8
919,919,0,1,0,1,24,8,8
920,920,0,1,0,1,25,8,8
921,921,0,1,0,1,26,9,9
922,922,0,1,0,1,27,3,3
923,923,0,1,0,1,28,0,0
924,924,0,1,0,1,29,2,2
925,925,0,1,0,1,30,8,8
926,926,0,1,0,1,31,3,3
927,927,0,1,0,1,32,a,a
928,928,0,1,0,1,33,2,2
929,929,0,1,0,1,34,8,8
930,930,0,1,0,1,35,8,8
931,931,0,1,0,1,36,3,3
932,932,0,1,0,1,37,8,8
933,933,0,1,0,1,38,9,9
934,934,0,1,0,1,39,8,8
935,935,0,1,0,1,40,0,0
936,936,0,1,0,1,41,2,2
937,937,0,1,0,1,42,8,8
938,938,0,1,0,1,43,0,0
939,939,0,1,0,1,44,2,2
940,940,0,1,0,1,45,8,8
941,941,0,1,0,1,46,8,8
942,942,0,1,0,1,47,8,8
943,943,0,1,0,1,48,8,8
944,944,0,1,0,1,49,8,8
945,945,0,1,0,1,50,0,0
946,946,0,1,0,1,51,0,0
947,947,0,1,0,1,52,8,8
948,948,0,1,0,1,53,8,8
949,949,0,1,0,1,54,8,8
950,950,0,1,0,1,55,8,8
951,951,0,1,0,1,56,0,0
952,952,0,1,0,1,57,9,9
953,953,0,1,0,1,58,a,a
954,954,0,1,0,1,59,0,0
955,955,0,1,0,1,60,3,3
956,956,0,1,0,1,61,8,8
957,957,0,1,0,1,62,2,2
958,958,0,1,0,1,63,a,a
959,959,0,1,0,1,64,0,0
960,960,0,1,0,1,65,8,8
961,961,0,1,0,1,66,8,8
962,962,0,1,0,1,67,8,8
963,963,0,1,0,1,68,0,0
964,964,0,1,0,1,69,8,8
965,965,0,1,0,1,70,2,2
966,966,0,1,0,1,71,8,8
967,967,0,1,0,1,72,8,8
968,968,0,1,0,1,73,0,0
969,969,0,1,0,1,74,0,0
970,970,0,1,0,1,75,0,0
971,971,0,1,0,1,76,2,2
972,972,0,1,0,1,77,0,0
973,973,0,1,0,1,78,a,a
974,974,0,1,0,1,79,a,a
975,975,0,1,0,1,80,0,0
976,976,0,1,0,1,81,8,8
977,977,0,1,0,1,82,0,0
978,978,0,1,0,1,83,8,8
979,979,0,1,0,1,84,3,3
980,980,0,1,0,1,85,8,8
981,981,0,1,0,1,86,2,2
982,982,0,1,0,1,87,8,8
983,983,0,1,0,1,88,2,2
984,984,0,1,0,1,89,2,2
985,985,0,1,0,1,90,9,9
986,986,0,1,0,1,91,2,2
987,987,0,1,0,1,92,3,3
988,988,0,1,0,1,93,8,8
989,989,0,1,0,1,94,a,a
990,990,0,1,0,1,95,8,8
991,991,0,1,0,1,96,3,3
992,992,0,1,0,1,97,8,8
993,993,0,1,0,1,98,2,2
994,994,0,1,0,1,99,0,0
995,995,0,1,0,1,100,9,9
996,996,0,1,0,1,101,8,8
997,997,0,1,0,1,102,2,2
998,998,0,1,0,1,103,3,3
999,999,0,1,0,1,104,8,8
1000,1000,0,1,0,1,105,8,8
1001,1001,0,1,0,1,106,0,0
1002,1002,0,1,0,1,107,0,0
1003,1003,0,1,0,1,108,2,2
1004,1004,0,1,0,1,109,0,0
1005,1005,0,1,0,1,110,3,3
1006,1006,0,1,0,1,111,a,a
1007,1007,0,1,0,1,112,8,8
1008,1008,0,1,0,1,113,a,a
1009,1009,0,1,0,1,114,2,2
1010,1010,0,1,0,1,115,a,a
1011,1011,0,1,0,1,116,0,0
1012,1012,0,1,0,1,117,0,0
1013,1013,0,1,0,1,118,8,8
1014,1014,0,1,0,1,119,2,2
1015,1015,0,1,0,1,120,0,0
1016,1016,0,1,0,1,121,0,0
1017,1017,0,1,0,1,122,0,0
1018,1018,0,1,0,1,123,8,8
1019,1019,0,1,0,1,124,9,9
1020,1020,0,1,0,1,125,8,8
1021,1021,0,1,0,1,126,8,8
1022,1022,0,1,0,1,127,0,0
1023,1023,0,1,0,1,0,0,0
